hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
crab,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
deer,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1
flea,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0
haddock,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0
hare,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0
herring,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
